index,BBM node,Model,Input in BBM,Our notation,Input in merge
420,BAD,TM,,BAD,
421,BAK1,TM,,BAK1,
422,BAX,TM,,BAX,
423,BCL2,TM,,BCL2,
424,BCLXL,TM,,BCLXL,
425,BID,TM,,BID,
426,BIM,TM,,BIM,
427,CASP3,TM,,CASP3,
428,CASP8,TM,,CASP8,
429,CASP9,TM,,CASP9,
430,CDKN2A,TM,,CDKN2A,
431,CEBPB,TM,,CEBPB,
432,CREB1,TM,,CREB1,
433,CTNNB1,TM,,CTNNB1,
434,CYCLIN_D_c,TM,,CYCLINDc,
435,CYCS,TM,,CYCS,
436,DC,TM,,DC,
437,DLL_i,TM,input,DLL,input
438,DVL1,TM,,DVL1,
439,E2F1,TM,,E2F,
440,EGF,TM,input,EGF,input
441,EGFR,TM,,EGFR,
442,EIF4E,TM,,EIF4,
443,ERK_i,TM,,ERK,
444,ES,TM,input,ES,constant 1
445,ESR1,TM,,ESR1,
446,FADD,TM,,FADD,
447,FAS,TM,,FAS,
448,FASLG,TM,,FASLG,
449,FOXO1,TM,,FOXO1,
450,FOXO3,TM,,FOXO3,
451,FZD3,TM,,FZD,
452,GATA3,TM,,GATA3,
453,GRB2,TM,,GRB2,
454,GRB7,TM,,GRB7,
455,GSK3B,TM,,GSK3B,
456,HER2,TM,,HER2,
457,HER3,TM,,HER3,
458,HES1,TM,,HES1,
459,HEY1,TM,,HEY1,
460,HRAS,TM,,HRAS,
461,HSP90AA1,TM,,HSP90AA1,
462,IGF1,TM,input,IGF1,input
463,IGF1R,TM,,IGF1R,
464,IL1B,TM,,IL1B,
465,IL6,TM,,IL6,
466,IL6R,TM,,IL6R,
467,IL8,TM,,IL8,
468,INS,TM,input,INS,input
469,INSR,TM,,INSR,
470,IRS1,TM,,IRS1,
471,IVEBP1,TM,,EIF4EBP1,
472,JAK2,TM,,JAK2,
473,JUN,TM,,JUN,
474,KMT2D,TM,,KMT2D,
475,KRT14,TM,,KRT14,
476,LATS1,TM,,LATS1,
477,LCK,TM,,LCK,
478,MAPK8,TM,,MAPK8,
479,MCL1,TM,,MCL1,
480,MDM2,TM,,MDM2,
481,MEK_i,TM,,MEK,
482,MTORC1_c,TM,,mTORC1,
483,MTORC2_c,TM,,mTORC2_pm,
484,MYC,TM,,MYC,
485,MYOD1,TM,,MYOD1,
486,MYOG,TM,,MYOG,
487,NCID,TM,,NICD,
488,NEDD4L,TM,,NEDD4L,
489,NF1,TM,,NF1,
490,NF2,TM,,NF2,
491,NFKB1,TM,,NFKB,
492,NOS3,TM,,NOS3,
493,NOTCH1,TM,,NOTCH1,
494,NRG1,TM,input,NRG1,input
495,P21,TM,,p21,
496,P53,TM,,p53,
497,PAK1,TM,,PAK1,
498,PAK2,TM,,PAK2,
499,PAX7,TM,,PAX7,
500,PDPK1,TM,,PDK1_pm,
501,PG,TM,input,PG,input
502,PGR,TM,,PGR,
503,PI3K_c,TM,,PI3K,
504,PIM,TM,,PIM,constant 0
505,PIP3,TM,,PIP3,
506,PPARG,TM,,PPARG,
507,PRB,TM,,RB,
508,PRKAA2,TM,,PRKAA2,
509,PRKACA,TM,,PRKACA,
510,PTEN,TM,,PTEN,
511,RAC1,TM,,RAC1,
512,RAF1,TM,,RAF1,
513,RAS_i,TM,,RAS,
514,RELA,TM,,RELA,
515,RHEB,TM,,RHEB,
516,RND1,TM,,RND1,
517,S6K1,TM,,S6K,
518,SGK1,TM,,SGK1,
519,SOS1,TM,,SOS1,
520,SRC,TM,,SRC,
521,STAT1,TM,,STAT1,
522,STAT3,TM,,STAT3,
523,STAT5,TM,,STAT5,
524,STK11,TM,,STK11,
525,TCF4,TM,,TCF7L2,
526,TEAD1,TM,,TEAD1,
527,TRADD,TM,,TRADD,
528,TSC2,TM,,TSC2,
529,TWIST1,TM,,TWIST1,
530,WNT1,TM,input,WNT1,input
531,YAP1,TM,,YAP1,
532,ABL1,TT,,ABL1,
533,ABL2,TT,,ABL2,
534,AKT_i,TT,,AKT,
535,APC,TT,,APC,
536,AXIN1,TT,,AXIN1,
537,BAD,TT,,BAD,
538,BAK1,TT,,BAK1,
539,BAX,TT,,BAX,
540,BCL2,TT,,BCL2,
541,BCLXL,TT,,BCLXL,
542,BID,TT,,BID,
543,BIM,TT,,BIM,
544,CASP3,TT,,CASP3,
545,CASP8,TT,,CASP8,
546,CASP9,TT,,CASP9,
547,CDKN2A,TT,,CDKN2A,
548,CEBPB,TT,,CEBPB,
549,CREB1,TT,,CREB1,
550,CTNNB1,TT,,CTNNB1,
551,CYCLIN_D_c,TT,,CYCLINDc,
552,CYCS,TT,,CYCS,
553,DC,TT,,DC,
554,DLL_i,TT,input,DLL,input
555,DVL1,TT,,DVL1,
556,E2F1,TT,,E2F,
557,EGF,TT,input,EGF,input
558,EGFR,TT,,EGFR,
559,EIF4E,TT,,EIF4,
560,ERK_i,TT,,ERK,
561,ES,TT,input,ES,constant 1
562,ESR1,TT,,ESR1,
563,FADD,TT,,FADD,
564,FAS,TT,,FAS,
565,FASLG,TT,,FASLG,
566,FOXO1,TT,,FOXO1,
567,FOXO3,TT,,FOXO3,
568,FZD3,TT,,FZD,
569,GATA3,TT,,GATA3,
570,GRB2,TT,,GRB2,
571,GRB7,TT,,GRB7,
572,GSK3B,TT,,GSK3B,
573,HER2,TT,,HER2,
574,HER3,TT,,HER3,
575,HES1,TT,,HES1,
576,HEY1,TT,,HEY1,
577,HRAS,TT,,HRAS,
578,HSP90AA1,TT,,HSP90AA1,
579,IGF1,TT,input,IGF1,input
580,IGF1R,TT,,IGF1R,
581,IL1B,TT,,IL1B,
582,IL6,TT,,IL6,
583,IL6R,TT,,IL6R,
584,IL8,TT,,IL8,
585,INS,TT,input,INS,input
586,INSR,TT,,INSR,
587,IRS1,TT,,IRS1,
588,IVEBP1,TT,,EIF4EBP1,
589,JAK2,TT,,JAK2,
590,JUN,TT,,JUN,
591,KMT2D,TT,,KMT2D,
592,KRT14,TT,,KRT14,
593,LATS1,TT,,LATS1,
594,LCK,TT,,LCK,
595,MAPK8,TT,,MAPK8,
596,MCL1,TT,,MCL1,
597,MDM2,TT,,MDM2,
598,MEK_i,TT,,MEK,
599,MTORC1_c,TT,,mTORC1,
600,MTORC2_c,TT,,mTORC2_pm,
601,MYC,TT,,MYC,
602,MYOD1,TT,,MYOD1,
603,MYOG,TT,,MYOG,
604,NCID,TT,,NICD,
605,NEDD4L,TT,,NEDD4L,
606,NF1,TT,,NF1,
607,NF2,TT,,NF2,
608,NFKB1,TT,,NFKB,
609,NOS3,TT,,NOS3,
610,NOTCH1,TT,,NOTCH1,
611,NRG1,TT,input,NRG1,input
612,P21,TT,,p21,
613,P53,TT,,p53,
614,PAK1,TT,,PAK1,
615,PAK2,TT,,PAK2,
616,PAX7,TT,,PAX7,
617,PDPK1,TT,,PDK1_pm,
618,PG,TT,input,PG,input
619,PGR,TT,,PGR,
620,PI3K_c,TT,,PI3K,
621,PIM,TT,,PIM,constant 0
622,PIP3,TT,,PIP3,
623,PPARG,TT,,PPARG,
624,PRB,TT,,RB,
625,PRKAA2,TT,,PRKAA2,
626,PRKACA,TT,,PRKACA,
627,PTEN,TT,,PTEN,
628,RAC1,TT,,RAC1,
629,RAF1,TT,,RAF1,
630,RAS_i,TT,,RAS,
631,RELA,TT,,RELA,
632,RHEB,TT,,RHEB,
633,RND1,TT,,RND1,
634,S6K1,TT,,S6K,
635,SGK1,TT,,SGK1,
636,SOS1,TT,,SOS1,
637,SRC,TT,,SRC,
638,STAT1,TT,,STAT1,
639,STAT3,TT,,STAT3,
640,STAT5,TT,,STAT5,
641,STK11,TT,,STK11,
642,TCF4,TT,,TCF7L2,
643,TEAD1,TT,,TEAD1,
644,TRADD,TT,,TRADD,
645,TSC2,TT,,TSC2,
646,TWIST1,TT,,TWIST1,
647,WNT1,TT,input,WNT1,input
648,YAP1,TT,,YAP1,
