index,Regulator,Target,Sign,Model
1411,FOXO3,ESR1,positive,TT
1412,KMT2D,ESR1,positive,TT
1413,PGR,ESR1,positive,TT
1414,FAS,FADD,positive,TT
1415,TRADD,FADD,positive,TT
1416,AKT,FAS,negative,TT
1417,FASLG,FAS,positive,TT
1418,p53,FAS,positive,TT
1419,FASLG,FASLG,positive,TT
1420,FOXO3,FASLG,positive,TT
1421,p53,FASLG,positive,TT
1422,AKT,FOXO1,negative,TT
1423,SGK1,FOXO1,negative,TT
1424,AKT,FOXO3,negative,TT
1425,WNT1,FZD,positive,TT
1426,STAT1,GATA3,negative,TT
1427,EGFR,GRB2,positive,TT
1428,HER2,GRB2,positive,TT
1429,IRS1,GRB2,positive,TT
1430,SRC,GRB2,positive,TT
1431,INSR,GRB7,positive,TT
1432,PRKACA,GRB7,negative,TT
1433,AKT,GSK3B,negative,TT
1434,ERK,GSK3B,negative,TT
1435,ESR1,HER2,positive,TT
1436,FOXO3,HER2,positive,TT
1437,HER3,HER2,positive,TT
1438,HER2,HER3,positive,TT
1439,NRG1,HER3,positive,TT
1440,NICD,HES1,positive,TT
1441,NICD,HEY1,positive,TT
1442,NF1,HRAS,negative,TT
1443,PIP3,HRAS,positive,TT
1444,SOS1,HRAS,positive,TT
1445,ESR1,HSP90AA1,positive,TT
1446,PDK1_pm,HSP90AA1,negative,TT
1447,ESR1,IGF1R,positive,TT
1448,FOXO3,IGF1R,positive,TT
1449,IGF1,IGF1R,positive,TT
1450,NOS3,IL1B,positive,TT
1451,RELA,IL1B,positive,TT
1452,IL1B,IL6,positive,TT
1453,IL6,IL6,positive,TT
1454,IL6,IL6R,positive,TT
1455,STAT3,IL6R,positive,TT
1456,STAT5,IL8,positive,TT
1457,FOXO3,INSR,positive,TT
1458,INS,INSR,positive,TT
1459,IGF1R,IRS1,positive,TT
1460,INSR,IRS1,positive,TT
1461,S6K,IRS1,negative,TT
1462,mTORC1,EIF4EBP1,negative,TT
1463,ABL1,JAK2,positive,TT
1464,IL6R,JAK2,positive,TT
1465,IL8,JAK2,positive,TT
1466,IRS1,JAK2,positive,TT
1467,ERK,JUN,positive,TT
1468,MAPK8,JUN,positive,TT
1469,PPARG,JUN,positive,TT
1470,RELA,JUN,positive,TT
1471,AKT,KMT2D,negative,TT
1472,PAX7,KMT2D,positive,TT
1473,EGFR,KRT14,positive,TT
1474,PAK2,KRT14,positive,TT
1475,LCK,LATS1,positive,TT
1476,NF2,LATS1,positive,TT
1477,AKT,LCK,negative,TT
1478,ERK,LCK,positive,TT
1479,RAC1,MAPK8,positive,TT
1480,RND1,MAPK8,positive,TT
1481,ERK,MCL1,positive,TT
1482,GSK3B,MCL1,negative,TT
1483,AKT,MDM2,positive,TT
1484,p53,MDM2,positive,TT
1485,RAF1,MEK,positive,TT
1486,IGF1,mTORC1,positive,TT
1487,NRG1,mTORC1,positive,TT
1488,PIM,mTORC1,positive,TT
1489,RHEB,mTORC1,positive,TT
1490,PIP3,mTORC2_pm,positive,TT
1491,S6K,mTORC2_pm,negative,TT
1492,CTNNB1,MYC,positive,TT
1493,EIF4,MYC,positive,TT
1494,ERK,MYC,positive,TT
1495,ESR1,MYC,positive,TT
1496,FOXO3,MYC,positive,TT
1497,GSK3B,MYC,negative,TT
1498,IGF1,MYC,positive,TT
1499,JAK2,MYC,positive,TT
1500,KMT2D,MYC,positive,TT
1501,NRG1,MYC,positive,TT
1502,PIM,MYC,positive,TT
1503,STAT3,MYC,positive,TT
1504,HES1,MYOD1,negative,TT
1505,NF2,MYOD1,negative,TT
1506,HEY1,MYOG,negative,TT
1507,MYOD1,MYOG,positive,TT
1508,NOTCH1,NICD,positive,TT
1509,SGK1,NEDD4L,negative,TT
1510,TWIST1,NF1,negative,TT
1511,NEDD4L,NF2,positive,TT
1512,NOTCH1,NFKB,positive,TT
1513,AKT,NOS3,positive,TT
1514,HSP90AA1,NOS3,positive,TT
1515,CTNNB1,NOTCH1,positive,TT
1516,DLL,NOTCH1,positive,TT
1517,LCK,NOTCH1,positive,TT
1518,AKT,p21,negative,TT
1519,ERK,p21,negative,TT
1520,MYC,p21,negative,TT
1521,MDM2,p53,negative,TT
1522,PDK1_pm,PAK1,positive,TT
1523,RAC1,PAK1,positive,TT
1524,TCF7L2,PAK1,positive,TT
1525,RAC1,PAK2,positive,TT
1526,SRC,PAK2,positive,TT
1527,MYOG,PAX7,negative,TT
1528,IGF1R,PDK1_pm,positive,TT
1529,PIP3,PDK1_pm,positive,TT
1530,ERK,PGR,negative,TT
1531,ESR1,PGR,negative,TT
1532,PG,PGR,positive,TT
1533,EGFR,PI3K,positive,TT
1534,ESR1,PI3K,positive,TT
1535,IGF1R,PI3K,positive,TT
1536,IRS1,PI3K,positive,TT
1537,NFKB,PIM,positive,TT
1538,PI3K,PIP3,positive,TT
1539,PTEN,PIP3,negative,TT
1540,CEBPB,PPARG,positive,TT
1541,GATA3,PPARG,negative,TT
1542,CYCLINDc,RB,negative,TT
1543,STK11,PRKAA2,positive,TT
1544,AKT,PRKACA,positive,TT
1545,WNT1,PRKACA,positive,TT
1546,S6K,PTEN,positive,TT
1547,SRC,PTEN,negative,TT
1548,AKT,RAC1,negative,TT
1549,DVL1,RAC1,positive,TT
1550,PI3K,RAC1,positive,TT
1551,HRAS,RAF1,positive,TT
1552,RAS,RAF1,positive,TT
1553,PIP3,RAS,positive,TT
1554,SOS1,RAS,positive,TT
1555,NFKB,RELA,positive,TT
1556,PIM,RELA,positive,TT
1557,TSC2,RHEB,negative,TT
1558,DVL1,RND1,positive,TT
1559,GRB7,RND1,positive,TT
1560,ERK,S6K,positive,TT
1561,mTORC1,S6K,positive,TT
1562,mTORC1,SGK1,positive,TT
1563,mTORC2_pm,SGK1,positive,TT
1564,PDK1_pm,SGK1,positive,TT
1565,GRB2,SOS1,positive,TT
1566,PRKACA,SRC,positive,TT
1567,EGFR,STAT1,positive,TT
1568,JAK2,STAT1,positive,TT
1569,SRC,STAT1,positive,TT
1570,IL1B,STAT3,positive,TT
1571,JAK2,STAT3,positive,TT
1572,MAPK8,STAT3,positive,TT
1573,SRC,STAT3,positive,TT
1574,JAK2,STAT5,positive,TT
1575,ERK,STK11,negative,TT
1576,FOXO3,STK11,positive,TT
1577,CTNNB1,TCF7L2,positive,TT
1578,JUN,TCF7L2,positive,TT
1579,YAP1,TEAD1,positive,TT
1580,KRT14,TRADD,negative,TT
1581,AKT,TSC2,negative,TT
1582,ERK,TSC2,negative,TT
1583,GSK3B,TSC2,positive,TT
1584,PRKAA2,TSC2,positive,TT
1585,ERK,TWIST1,positive,TT
1586,ABL1,YAP1,positive,TT
1587,LATS1,YAP1,negative,TT
