Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct
IL27R,IL35,unknown,Fake,6,,
IL27R,RORGT,unknown,Fake,6,,
IL27R,GATA3,unknown,Fake,6,,
IL27R,IL31,unknown,Fake,6,,
IL27R,CMAF,unknown,Fake,6,,
IL27R,IFNAR,unknown,Fake,6,,
IL27R,IL36R,unknown,Fake,6,,
IL27R,JAK1,unknown,Fake,6,,
IL27R,IL21R,unknown,Fake,6,,
IL27R,IL2RA,unknown,Fake,6,,
IL27R,IRAK,unknown,Fake,6,,
IL27R,IL5,unknown,Fake,6,,
IL27R,IL1R,unknown,Fake,6,,
IL27R,SMAD3,unknown,Fake,6,,
IL27R,IL29R,unknown,Fake,6,,
IL27R,PU1,unknown,Fake,6,,
IL27R,CD4,unknown,Fake,6,,
IL27R,IFNGR,unknown,Fake,6,,
IL27R,IL10R,unknown,Fake,6,,
IL27R,IL12RB1_2,unknown,Fake,6,,
IL27R,IL4R,unknown,Fake,6,,
IL27R,STAT5,unknown,Fake,6,,
IL27R,IL23R,unknown,Fake,6,,
IL27R,IL12RB2,unknown,Fake,6,,
IL27R,ST2,unknown,Fake,6,,
IL27R,IL4RA_2,unknown,Fake,6,,
IL27R,IFNGR_2,unknown,Fake,6,,
IL27R,TGFB,unknown,Fake,6,,
IL27R,IL7R,unknown,Fake,6,,
IL27R,SMAD2,unknown,Fake,6,,
IL27R,IL3,unknown,Fake,6,,
IL27R,IL2,unknown,Fake,6,,
IL27R,IL9,unknown,Fake,6,,
IL27R,NOTCH1,unknown,Fake,6,,
IL27R,IL2R,unknown,Fake,6,,
IL27R,IL18R,unknown,Fake,6,,
IL27R,SOCS1,unknown,Fake,6,,
IL27R,IL1R1,unknown,Fake,6,,
IL27R,CD8,unknown,Fake,6,,
IL27R,STAT5_2,unknown,Fake,6,,
IL27R,IL12R,unknown,Fake,6,,
IL27R,IL22,unknown,Fake,6,,
IL27R,IL4R_2,unknown,Fake,6,,
IL27R,proliferation,unknown,Fake,6,,
IL27R,IL15R,unknown,Fake,6,,
IL27R,IL17,unknown,Fake,6,,
IL27R,GZMB,unknown,Fake,6,,
IL27R,THPOK,unknown,Fake,6,,
IL27R,IL25R,unknown,Fake,6,,
IL27R,IL2R_2,unknown,Fake,6,,
IL27R,IFNG,unknown,Fake,6,,
IL27R,IL33R,unknown,Fake,6,,
IL27R,TBET,unknown,Fake,6,,
IL27R,IL4,unknown,Fake,6,,
IL27R,IL24,unknown,Fake,6,,
IL27R,IRF1,unknown,Fake,6,,
IL27R,EOMES,unknown,Fake,6,,
IL27R,FOXP3,unknown,Fake,6,,
IL27R,IL21,unknown,Fake,6,,
IL27R,IL25,unknown,Fake,6,,
IL27R,CD28,unknown,Fake,6,,
IL27R,STAT6,unknown,Fake,6,,
IL27R,IL6,unknown,Fake,6,,
IL27R,STAT4,unknown,Fake,6,,
IL27R,IFNG_2,unknown,Fake,6,,
IL27R,BCL6,unknown,Fake,6,,
IL27R,IL13,unknown,Fake,6,,
IL27R,TBET_2,unknown,Fake,6,,
IL27R,RUNX3,unknown,Fake,6,,
IL29_e,NFAT,unknown,Fake,6,,
IL29_e,IL27R,unknown,Fake,6,,
IL29_e,TCR,unknown,Fake,6,,
IL29_e,PRF1,unknown,Fake,6,,
IL29_e,STAT3,unknown,Fake,6,,
IL29_e,IL10,unknown,Fake,6,,
IL29_e,NFKB,unknown,Fake,6,,
IL29_e,IFNBR,unknown,Fake,6,,
IL29_e,TGFBR,unknown,Fake,6,,
IL29_e,IKB,unknown,Fake,6,,
IL29_e,IL6R,unknown,Fake,6,,
IL29_e,IL23,unknown,Fake,6,,
IL29_e,IL35,unknown,Fake,6,,
IL29_e,RORGT,unknown,Fake,6,,
IL29_e,GATA3,unknown,Fake,6,,
IL29_e,IL31,unknown,Fake,6,,
IL29_e,CMAF,unknown,Fake,6,,
IL29_e,IFNAR,unknown,Fake,6,,
IL29_e,IL36R,unknown,Fake,6,,
IL29_e,JAK1,unknown,Fake,6,,
IL29_e,IL21R,unknown,Fake,6,,
IL29_e,IL2RA,unknown,Fake,6,,
IL29_e,IRAK,unknown,Fake,6,,
IL29_e,IL5,unknown,Fake,6,,
IL29_e,IL1R,unknown,Fake,6,,
IL29_e,SMAD3,unknown,Fake,6,,
IL29_e,PU1,unknown,Fake,6,,
IL29_e,CD4,unknown,Fake,6,,
IL29_e,IFNGR,unknown,Fake,6,,
IL29_e,IL10R,unknown,Fake,6,,
IL29_e,IL12RB1_2,unknown,Fake,6,,
IL29_e,IL4R,unknown,Fake,6,,
IL29_e,STAT5,unknown,Fake,6,,
IL29_e,IL23R,unknown,Fake,6,,
IL29_e,IL12RB2,unknown,Fake,6,,
IL29_e,ST2,unknown,Fake,6,,
IL29_e,IL4RA_2,unknown,Fake,6,,
IL29_e,IFNGR_2,unknown,Fake,6,,
IL29_e,TGFB,unknown,Fake,6,,
IL29_e,IL7R,unknown,Fake,6,,
IL29_e,SMAD2,unknown,Fake,6,,
IL29_e,IL3,unknown,Fake,6,,
IL29_e,IL2,unknown,Fake,6,,
IL29_e,IL9,unknown,Fake,6,,
IL29_e,NOTCH1,unknown,Fake,6,,
IL29_e,STAT1_2,unknown,Fake,6,,
IL29_e,IL2R,unknown,Fake,6,,
IL29_e,IL18R,unknown,Fake,6,,
IL29_e,SOCS1,unknown,Fake,6,,
IL29_e,IL1R1,unknown,Fake,6,,
IL29_e,CD8,unknown,Fake,6,,
IL29_e,STAT5_2,unknown,Fake,6,,
IL29_e,IL12R,unknown,Fake,6,,
IL29_e,IL22,unknown,Fake,6,,
IL29_e,IL4R_2,unknown,Fake,6,,
IL29_e,proliferation,unknown,Fake,6,,
IL29_e,IL15R,unknown,Fake,6,,
IL29_e,IL17,unknown,Fake,6,,
IL29_e,GZMB,unknown,Fake,6,,
IL29_e,THPOK,unknown,Fake,6,,
IL29_e,IL25R,unknown,Fake,6,,
IL29_e,IL2R_2,unknown,Fake,6,,
IL29_e,IFNG,unknown,Fake,6,,
IL29_e,IL33R,unknown,Fake,6,,
IL29_e,TBET,unknown,Fake,6,,
IL29_e,IL4,unknown,Fake,6,,
IL29_e,IL24,unknown,Fake,6,,
IL29_e,IRF1,unknown,Fake,6,,
IL29_e,EOMES,unknown,Fake,6,,
IL29_e,FOXP3,unknown,Fake,6,,
IL29_e,IL21,unknown,Fake,6,,
IL29_e,IL25,unknown,Fake,6,,
IL29_e,CD28,unknown,Fake,6,,
IL29_e,STAT6,unknown,Fake,6,,
IL29_e,IL6,unknown,Fake,6,,
IL29_e,STAT4,unknown,Fake,6,,
IL29_e,STAT1,unknown,Fake,6,,
IL29_e,IFNG_2,unknown,Fake,6,,
IL29_e,BCL6,unknown,Fake,6,,
IL29_e,IL13,unknown,Fake,6,,
IL29_e,TBET_2,unknown,Fake,6,,
IL29_e,RUNX3,unknown,Fake,6,,
NFAT,NFAT,unknown,Fake,6,,
NFAT,IL27R,unknown,Fake,6,,
NFAT,TCR,unknown,Fake,6,,
NFAT,PRF1,unknown,Fake,6,,
NFAT,STAT3,unknown,Fake,6,,
NFAT,NFKB,unknown,Fake,6,,
NFAT,IFNBR,unknown,Fake,6,,
NFAT,TGFBR,unknown,Fake,6,,
NFAT,IKB,unknown,Fake,6,,
NFAT,IL6R,unknown,Fake,6,,
NFAT,IL23,unknown,Fake,6,,
NFAT,IL35,unknown,Fake,6,,
NFAT,RORGT,unknown,Fake,6,,
NFAT,CMAF,unknown,Fake,6,,
NFAT,IFNAR,unknown,Fake,6,,
NFAT,IL36R,unknown,Fake,6,,
NFAT,JAK1,unknown,Fake,6,,
NFAT,IL21R,unknown,Fake,6,,
NFAT,IRAK,unknown,Fake,6,,
NFAT,IL1R,unknown,Fake,6,,
NFAT,SMAD3,unknown,Fake,6,,
NFAT,IL29R,unknown,Fake,6,,
NFAT,PU1,unknown,Fake,6,,
NFAT,CD4,unknown,Fake,6,,
NFAT,IFNGR,unknown,Fake,6,,
NFAT,IL10R,unknown,Fake,6,,
NFAT,IL12RB1_2,unknown,Fake,6,,
NFAT,IL4R,unknown,Fake,6,,
NFAT,STAT5,unknown,Fake,6,,
NFAT,IL23R,unknown,Fake,6,,
NFAT,IL12RB2,unknown,Fake,6,,
NFAT,ST2,unknown,Fake,6,,
NFAT,IL4RA_2,unknown,Fake,6,,
NFAT,IFNGR_2,unknown,Fake,6,,
NFAT,IL7R,unknown,Fake,6,,
NFAT,SMAD2,unknown,Fake,6,,
NFAT,NOTCH1,unknown,Fake,6,,
NFAT,STAT1_2,unknown,Fake,6,,
NFAT,IL2R,unknown,Fake,6,,
NFAT,IL18R,unknown,Fake,6,,
NFAT,SOCS1,unknown,Fake,6,,
NFAT,IL1R1,unknown,Fake,6,,
NFAT,CD8,unknown,Fake,6,,
NFAT,STAT5_2,unknown,Fake,6,,
NFAT,IL12R,unknown,Fake,6,,
NFAT,IL4R_2,unknown,Fake,6,,
NFAT,proliferation,unknown,Fake,6,,
NFAT,IL15R,unknown,Fake,6,,
NFAT,GZMB,unknown,Fake,6,,
NFAT,THPOK,unknown,Fake,6,,
NFAT,IL25R,unknown,Fake,6,,
NFAT,IL2R_2,unknown,Fake,6,,
NFAT,IL33R,unknown,Fake,6,,
NFAT,TBET,unknown,Fake,6,,
