Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
IL21R,IL3,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL24,unknown,Fake,6,,,TAKEN_OUT
IL21R,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,GATA3,unknown,Fake,6,,,TAKEN_OUT
IL21R,RORGT,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL10,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL23R,unknown,Fake,6,,,TAKEN_OUT
IL21R,BCL6,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL6R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL35,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL25R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL2R,unknown,Fake,6,,,TAKEN_OUT
IL21R,CMAF,unknown,Fake,6,,,TAKEN_OUT
IL21R,IFNG,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL1R1,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL10R,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL21R,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL12R,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL18R,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IL12R,JAK1,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL21,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL23,unknown,Fake,6,,,TAKEN_OUT
IL12R,TBET,unknown,Fake,6,,,TAKEN_OUT
IL12R,THPOK,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IL12R,STAT1,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL33R,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL22,unknown,Fake,6,,,TAKEN_OUT
IL12R,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IL12R,IRF1,unknown,Fake,6,,,TAKEN_OUT
IL12R,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IL12R,PU1,unknown,Fake,6,,,TAKEN_OUT
IL12R,EOMES,unknown,Fake,6,,,TAKEN_OUT
IL12R,CD8,unknown,Fake,6,,,TAKEN_OUT
