BBM node,Model,Input in original,Our notation,Input in merge
PDPK1,T47D,,PDK1_pm,
PG,T47D,input,PG,input
PGR,T47D,,PGR,
PI3K_c,T47D,,PI3K,
PIM,T47D,,PIM,
PIP3,T47D,,PIP3,
PPARG,T47D,,PPARG,
PRB,T47D,,RB,
PRKAA2,T47D,,PRKAA2,
PRKACA,T47D,,PRKACA,
PTEN,T47D,,PTEN,
RAC1,T47D,,RAC1,
RAF1,T47D,,RAF1,
RAS_i,T47D,,RAS,
RELA,T47D,,RELA,
RHEB,T47D,,RHEB,
RND1,T47D,,RND1,
S6K1,T47D,,S6K,
SGK1,T47D,,SGK1,
SOS1,T47D,,SOS1,
SRC,T47D,,SRC,
STAT1,T47D,,STAT1,
STAT3,T47D,,STAT3,
STAT5,T47D,,STAT5,
STK11,T47D,,STK11,
TCF4,T47D,,TCF7L2,
TEAD1,T47D,,TEAD1,
TRADD,T47D,,TRADD,
TSC2,T47D,,TSC2,
TWIST1,T47D,,TWIST1,
WNT1,T47D,input,WNT1,input
YAP1,T47D,,YAP1,
