index,BS,HS,SS,BL,HL,SL,Z17,Z21,TGEN,MCF7,T47D,Our notation,Input in merge,Notes
166,,,,,,,,,LCK,LCK,LCK,LCK,,
167,,,,,,,,,MAPK8,MAPK8,MAPK8,MAPK8,,
168,,,,,,,,,MDM2,MDM2,MDM2,MDM2,,
169,,,,,,,,,MYOD1,MYOD1,MYOD1,MYOD1,,
170,,,,,,,,,MYOG,MYOG,MYOG,MYOG,,
171,,,,,,,,,NCID,NCID,NCID,NICD,,"intracellular domain of Notch receptor, NICD is the correct spelling"
172,,,,,,,,,NEDD4L,NEDD4L,NEDD4L,NEDD4L,,
173,,,,,,,,,NF1,NF1,NF1,NF1,,
174,,,,,,,,,NF2,NF2,NF2,NF2,,
175,,,,,,,,,NOS3,NOS3,NOS3,NOS3,,
176,,,,,,,,,NOTCH1,NOTCH1,NOTCH1,NOTCH1,,
177,,,,,,,,,P21,P21,P21,p21,,
178,,,,,,,,,PAK1,PAK1,PAK1,PAK1,,
179,,,,,,,,,PAK2,PAK2,PAK2,PAK2,,
180,,,,,,,,,PAX7,PAX7,PAX7,PAX7,,
181,,,,,,,,,PGR,PGR,PGR,PGR,,
182,,,,,,,PIM,PIM,PIM,PIM,PIM,PIM,,PIM is an input in Z17 and Z21
183,,,,,,,,,PPARG,PPARG,PPARG,PPARG,,
184,,,,,,,,,PRKAA2,PRKAA2,PRKAA2,PRKAA2,,
185,,,,,,,,,PRKACA,PRKACA,PRKACA,PRKACA,,
186,,,,,,,,,RAC1,RAC1,RAC1,RAC1,,
187,,,,,,,,,RELA,RELA,RELA,RELA,,
188,,,,,,,,,RHEB,RHEB,RHEB,RHEB,,
189,,,,,,,,,RND1,RND1,RND1,RND1,,
190,,,,,,,,,SOS1,SOS1,SOS1,SOS1,,
191,,,,,,,,,SRC,SRC,SRC,SRC,,
192,,,,,,,,,STAT1,STAT1,STAT1,STAT1,,
193,,,,,,,,,STAT3,STAT3,STAT3,STAT3,,
194,,,,,,,,,STAT5,STAT5,STAT5,STAT5,,
195,,,,,,,,,STK11,STK11,STK11,STK11,,
196,,,,,,,,,TCF4,TCF4,TCF4,TCF7L2,,"TCF7L2 is the correct name, TCF4 can be confused with a different protein"
197,,,,,,,,,TEAD1,TEAD1,TEAD1,TEAD1,,
198,,,,,,,,,TRADD,TRADD,TRADD,TRADD,,
199,,,,,,,,,TWIST1,TWIST1,TWIST1,TWIST1,,
200,,,,,,,,,YAP1,YAP1,YAP1,YAP1,,
